日	날 일
亡	망할 망
取	가질 취
屯	진칠 둔
睪	엿볼 역
兆	조짐 조
竟	마침내 경
蒦	붙잡을 확
包	쌀 포
敝	해질 폐
爭	다툴 쟁
臽	함정 함
免	벗어날 면
倉	곳집 창
冓	쌓을 구
盧	밥그릇 로
爿	나무조각 장
帚	빗자루 추
攸	바 유
曷	어찌 갈
其	그 기
也	이것 이
幾	기미 기
旣	이미 기
反	돌이킬 반
复	돌아올 복
單	홑 단
交	사귈 교
契	맺을 계
婁	포갤 루
云	이를 운
褱	그리워할 회
奴	종 노
卑	낮을 비
列	벌일 렬
夋	갈 준
去	갈 거
予	나 여, 줄 여
余	나 여
召	부를 소
告	고할 고
垂	드리울 수
壬	북방 임
因	인할 인
司	맡을 사
代	대신할 대
及	미칠 급
詹	이를 첨
叔	아재비 숙
必	반드시 필
票	쪽지 표
叟	찾을 수
襄	도울 양
爰	당길 원
台	기쁠 이
兌	기쁠 태
悤	바쁠 총
酋	술익을 추
勺	잔 작
付	줄 부
畐	찰 복
兪	통나무배 유
凡	무릇 범
由	말미암을 유
良	어질 량
者	사람 자
立	설 립
畺	지경 강
堇	진흙 근
圭	홀 규
巴	꼬리 파
古	예 고
昔	옛 석
今	이제 금
旬	열흘 순
中	가운데 중
央	가운데 앙
夾	낄 협
